position_id,company_id,job_title,required_skills,min_experience,max_experience,education_requirement,salary_range_min,salary_range_max,job_type,remote_allowed,posted_date,application_deadline
28,14,Mobile Developer,Agile|Angular|Java,0,14,Master,693,5612,Part-time,False,2024-07-14,2024-09-08
29,78,Financial Analyst,Problem Solving|Machine Learning|Python|Data Analysis,0,13,Bachelor,1241,6834,Part-time,True,2024-07-21,2024-09-15
30,71,Full Stack Developer,Agile|Java|SQL|Problem Solving,1,13,Bachelor,1660,7585,Contract,True,2024-07-28,2024-09-22
31,23,Full Stack Developer,React|Leadership|Project Management|Java|Scrum,3,10,Any,1411,4791,Contract,True,2024-08-04,2024-09-29
32,43,Financial Analyst,JavaScript|Node.js|Project Management,3,7,Any,972,7423,Full-time,False,2024-08-11,2024-10-06
33,22,Marketing Specialist,Java|Agile|Scrum,3,10,Any,715,7981,Part-time,True,2024-08-18,2024-10-13
34,60,Full Stack Developer,Machine Learning|Problem Solving|SQL,4,14,Bachelor,1872,6212,Contract,True,2024-08-25,2024-10-20
35,100,HR Specialist,Project Management|Scrum|Java|Data Analysis,2,8,Bachelor,1375,5983,Contract,True,2024-09-01,2024-10-27
36,27,Data Scientist,Data Analysis|Problem Solving|Agile|Scrum,2,7,Bachelor,1706,5768,Part-time,True,2024-09-08,2024-11-03
37,56,Marketing Specialist,JavaScript|Problem Solving|Java|Angular,2,10,Bachelor,1691,3504,Contract,True,2024-09-15,2024-11-10
38,2,Mobile Developer,Angular|JavaScript|Project Management|Communication,4,10,Bachelor,537,4450,Part-time,False,2024-09-22,2024-11-17
39,39,Full Stack Developer,Leadership|Problem Solving|Python|React,3,6,Bachelor,970,5044,Contract,True,2024-09-29,2024-11-24
40,51,Frontend Developer,SQL|Scrum|Python|Machine Learning|Project Management,2,13,Bachelor,951,4033,Part-time,False,2024-10-06,2024-12-01
41,19,Software Engineer,Node.js|Project Management|Machine Learning|React|Data Analysis,3,12,Bachelor,1665,3699,Contract,False,2024-10-13,2024-12-08
42,62,Frontend Developer,Python|Machine Learning|Node.js|SQL,1,10,Master,1512,7706,Contract,True,2024-10-20,2024-12-15
43,71,Financial Analyst,Angular|React|Communication|Leadership,2,5,Master,602,4280,Full-time,False,2024-10-27,2024-12-22
44,76,Data Scientist,Machine Learning|Data Analysis|JavaScript|Node.js|Agile,1,6,Master,541,3307,Part-time,True,2024-11-03,2024-12-29
45,67,Marketing Specialist,JavaScript|SQL|Data Analysis,4,8,Master,1446,4527,Full-time,False,2024-11-10,2025-01-05
46,63,QA Engineer,JavaScript|Communication|Java,0,11,Bachelor,1670,5838,Contract,False,2024-11-17,2025-01-12
47,5,DevOps Engineer,Data Analysis|React|Communication|Node.js,4,13,Bachelor,565,2975,Part-time,True,2024-11-24,2025-01-19
48,72,Backend Developer,Leadership|Java|Angular|JavaScript|Data Analysis,4,14,Any,1442,4056,Part-time,False,2024-12-01,2025-01-26
49,78,Full Stack Developer,Scrum|Angular|Machine Learning|Communication,4,9,Any,692,6810,Contract,False,2024-12-08,2025-02-02
50,61,Frontend Developer,React|Python|Scrum|Problem Solving|Java,2,14,Master,1821,4426,Contract,False,2024-12-15,2025-02-09
